TripID,OrderID,DriverID,DeliveryDate,Status
1,1,27,2025-07-25,Delivered
2,2,7,2025-07-30,Delivered
3,3,50,2024-12-07,Delivered
4,4,30,2025-07-16,Pending
5,5,21,2025-04-06,Cancelled
6,6,15,2025-02-12,Delivered
7,7,21,2025-07-29,Cancelled
8,8,2,2025-07-29,Cancelled
9,9,46,2025-05-08,Cancelled
10,10,3,2025-01-07,Delivered
11,11,21,2025-05-04,Delivered
12,12,12,2025-05-23,Delivered
13,13,47,2025-08-12,Pending
14,14,34,2025-05-09,Cancelled
15,15,46,2025-01-11,Delivered
16,16,32,2025-06-29,Delivered
17,17,35,2025-05-25,Cancelled
18,18,23,2025-01-20,Cancelled
19,19,16,2024-10-18,Cancelled
20,20,1,2025-07-14,Pending
21,21,10,2025-06-13,Pending
22,22,16,2025-07-06,Pending
23,23,38,2025-01-12,Delivered
24,24,37,2024-10-24,Pending
25,25,27,2025-01-31,Pending
26,26,8,2024-09-30,Cancelled
27,27,38,2025-01-03,Delivered
28,28,15,2025-05-15,Delivered
29,29,21,2024-10-16,Pending
30,30,12,2025-02-26,Pending
31,31,35,2025-02-03,Delivered
32,32,25,2024-10-31,Cancelled
33,33,17,2025-04-30,Delivered
34,34,22,2024-11-16,Pending
35,35,6,2025-06-06,Pending
36,36,1,2024-10-21,Pending
37,37,26,2024-10-12,Delivered
38,38,27,2025-06-09,Delivered
39,39,30,2025-08-06,Pending
40,40,50,2025-04-17,Pending
41,41,42,2025-05-07,Cancelled
42,42,36,2024-10-12,Pending
43,43,38,2025-07-21,Delivered
44,44,7,2025-01-30,Cancelled
45,45,27,2025-04-10,Cancelled
46,46,19,2025-05-01,Delivered
47,47,5,2025-05-23,Pending
48,48,36,2024-10-20,Cancelled
49,49,35,2025-02-14,Pending
50,50,12,2025-07-14,Pending
51,51,41,2025-06-07,Pending
52,52,30,2024-08-19,Pending
53,53,6,2025-01-12,Delivered
54,54,2,2025-02-23,Pending
55,55,24,2025-01-12,Delivered
56,56,34,2025-05-25,Pending
57,57,23,2025-02-17,Delivered
58,58,29,2024-08-29,Pending
59,59,24,2025-02-24,Pending
60,60,29,2024-12-03,Delivered
61,61,47,2025-04-22,Cancelled
62,62,29,2025-01-11,Delivered
63,63,48,2025-04-16,Delivered
64,64,5,2024-11-10,Pending
