OrderID,ProductID,Quantity
1,999,4
1,471,10
1,234,8
1,870,7
2,430,6
2,42,7
2,18,3
2,323,1
3,831,10
3,690,2
4,334,3
5,988,9
5,814,2
5,883,10
6,85,1
6,83,9
7,508,1
7,913,2
7,697,2
7,899,7
8,353,3
9,557,6
10,876,4
10,194,4
11,490,3
11,90,6
12,219,8
12,493,5
12,60,6
13,563,9
13,635,5
14,173,8
14,773,2
14,128,2
14,264,5
15,291,8
15,17,8
15,974,10
15,936,5
15,674,4
16,317,3
16,831,8
17,604,2
17,986,2
17,148,1
17,324,2
17,758,10
18,758,7
18,736,10
18,476,8
18,8,3
18,471,2
19,227,8
19,648,4
19,665,10
20,286,10
21,73,10
21,172,1
21,6,2
22,22,6
22,535,8
22,900,4
23,103,3
23,270,8
24,948,2
24,777,5
24,44,10
24,446,4
24,950,7
25,835,5
25,679,8
25,588,6
25,172,2
26,846,3
26,845,9
26,569,2
26,46,1
26,827,5
27,100,2
27,704,7
27,833,8
27,967,7
28,124,8
28,453,4
28,793,6
29,169,1
29,785,3
29,225,3
30,48,8
30,894,5
30,846,9
30,478,3
30,472,9
31,200,8
31,586,9
32,704,5
32,374,4
33,116,1
33,212,2
33,286,10
34,39,3
35,666,4
35,488,5
35,963,10
35,846,7
35,979,1
36,705,9
36,44,3
36,505,3
36,464,1
37,951,10
37,367,1
37,546,10
38,667,8
38,686,3
38,663,4
38,137,6
39,936,8
40,555,3
40,161,8
40,207,4
41,345,9
41,577,6
41,341,1
41,525,2
41,426,3
42,690,7
42,931,5
42,932,4
42,113,8
42,522,1
43,83,9
43,326,7
43,873,7
44,177,2
44,91,6
44,378,10
44,448,6
44,301,6
45,80,10
45,92,10
45,820,3
45,579,8
46,844,6
47,282,4
47,534,5
48,186,5
48,911,3
49,841,9
49,20,9
49,948,5
50,769,9
50,617,9
50,882,6
50,623,3
50,567,3
51,152,1
51,42,1
52,500,6
52,242,10
52,504,5
52,12,8
52,570,4
53,720,10
53,355,7
53,779,2
54,716,2
54,635,1
54,960,9
54,978,3
55,812,7
55,433,6
55,145,10
55,538,9
55,154,2
56,220,7
57,759,8
57,436,7
57,233,9
57,521,8
58,330,2
58,238,2
58,89,7
59,198,6
59,988,1
59,171,6
59,111,6
59,730,6
60,856,7
61,69,4
61,28,8
61,610,8
61,520,3
62,895,8
62,408,4
62,16,1
62,909,2
63,397,9
63,644,4
63,544,6
63,150,6
64,789,3
64,737,4
64,217,2
65,770,10
66,829,3
67,760,2
67,14,6
67,239,1
67,961,1
68,29,8
69,914,1
69,714,6
69,925,10
69,68,6
69,780,10
70,610,1
70,862,1
70,565,8
70,399,5
70,683,4
71,790,2
71,670,10
71,159,3
72,820,1
72,395,4
73,9,10
74,262,6
74,547,1
74,270,6
74,436,4
75,647,2
75,47,1
75,983,7
76,598,6
76,670,4
76,605,10
76,251,4
77,270,8
77,468,7
77,302,8
77,539,2
77,107,4
78,873,3
79,965,1
79,978,6
79,378,1
79,915,10
79,181,10
80,618,9
80,602,5
81,32,2
82,28,10
82,989,10
82,444,2
83,602,2
83,74,4
83,624,7
83,146,10
83,73,1
84,517,6
84,699,8
84,954,4
85,163,3
85,60,7
85,329,7
85,625,3
85,252,9
86,814,4
87,962,8
87,551,9
87,673,6
87,532,1
88,565,3
88,608,4
88,864,3
89,254,6
89,622,8
89,845,3
89,358,2
89,888,2
90,484,7
90,149,3
90,72,8
90,586,2
90,430,9
91,243,8
91,187,7
91,702,10
91,80,3
92,248,7
92,482,8
92,886,6
92,212,5
93,147,5
93,112,1
94,320,3
94,963,1
95,270,6
95,625,5
95,828,1
95,741,5
95,102,7
96,440,7
96,246,3
96,710,9
96,179,6
97,601,6
97,222,7
97,633,8
97,156,6
98,47,2
98,877,6
98,607,1
99,422,6
100,914,6
100,652,2
101,50,10
101,447,2
101,631,1
102,173,3
102,436,10
102,312,1
102,32,5
102,730,10
103,518,2
104,368,3
104,865,6
104,998,8
104,748,10
105,687,8
106,807,4
106,927,9
106,885,7
106,402,7
107,572,2
108,947,1
108,650,1
108,826,7
108,585,7
108,75,6
109,695,7
109,482,9
109,750,10
109,787,3
109,696,8
110,741,9
111,894,9
111,625,5
111,787,3
112,913,9
112,15,9
112,910,9
113,738,6
113,591,7
113,387,4
114,844,1
114,518,1
115,22,3
115,462,4
116,124,7
117,533,2
117,904,9
117,477,1
118,13,6
118,748,8
118,37,10
118,797,2
119,933,8
119,637,2
120,224,4
120,509,9
121,297,4
122,761,8
122,223,9
122,284,7
