OrderID,CustomerID,OrderDate
1,177,2024-09-05
2,197,2024-12-15
3,312,2025-06-29
4,483,2025-07-10
5,51,2025-01-20
6,208,2025-02-11
7,348,2025-02-26
8,160,2025-07-26
9,16,2025-07-24
10,429,2024-11-09
11,167,2025-06-13
12,299,2025-07-09
13,84,2024-12-24
14,228,2025-01-05
15,334,2025-02-16
16,494,2025-01-02
17,175,2025-04-22
18,31,2025-08-09
19,38,2025-02-09
20,122,2025-07-06
21,179,2025-04-08
22,290,2025-08-02
23,314,2025-05-02
24,186,2024-11-19
25,255,2025-01-12
26,122,2025-06-06
27,77,2025-06-15
28,181,2024-10-21
29,198,2025-04-11
30,446,2025-07-17
31,192,2025-01-09
32,298,2025-03-23
33,293,2025-04-02
34,417,2025-06-18
35,11,2024-11-02
36,355,2025-03-17
37,35,2024-08-24
38,441,2024-10-12
39,21,2024-08-25
40,449,2024-09-03
41,494,2025-04-14
42,483,2025-07-04
43,247,2024-11-02
44,281,2025-05-06
45,382,2025-07-23
46,479,2024-09-01
47,476,2025-01-20
48,366,2025-02-03
49,10,2025-05-31
50,311,2024-12-10
51,414,2024-12-08
52,148,2025-01-04
53,153,2025-03-16
54,232,2024-08-16
55,205,2025-03-17
56,49,2025-06-13
57,222,2024-09-30
58,316,2024-08-22
59,194,2025-07-11
60,94,2024-10-14
61,367,2025-05-12
62,27,2025-06-03
63,276,2024-12-19
64,400,2025-02-23
65,397,2024-12-23
66,359,2024-12-21
67,158,2025-05-05
68,256,2025-05-10
69,119,2025-02-23
70,260,2025-02-01
71,236,2025-06-28
72,392,2025-07-01
73,262,2024-12-26
74,276,2025-03-18
75,246,2024-08-28
76,222,2025-01-11
77,204,2025-06-05
78,446,2024-11-25
79,408,2025-01-27
80,21,2024-11-09
81,275,2025-05-23
82,360,2024-08-30
83,197,2025-05-26
84,170,2025-08-07
85,96,2025-01-17
86,198,2025-07-16
87,268,2025-01-09
88,405,2025-02-06
89,174,2025-05-13
90,416,2025-05-13
91,491,2024-10-11
92,231,2025-03-12
93,60,2024-10-19
94,222,2024-12-29
95,170,2025-05-10
96,236,2024-10-27
97,364,2024-10-07
98,74,2024-12-03
99,153,2024-08-25
100,392,2025-05-14
101,328,2024-12-06
102,45,2025-07-16
103,165,2025-04-20
104,418,2025-03-17
105,269,2025-08-07
106,139,2024-11-16
107,235,2025-05-03
108,193,2025-08-03
109,181,2024-10-04
110,71,2024-10-09
111,321,2024-08-24
112,251,2024-12-01
113,280,2025-06-30
114,235,2024-08-30
115,383,2024-10-21
116,130,2024-11-16
117,391,2024-10-08
118,107,2024-12-13
119,33,2025-06-03
120,46,2025-04-01
121,146,2025-05-19
122,500,2024-11-29
123,442,2024-12-26
124,498,2025-06-27
125,21,2025-05-19
126,124,2024-09-11
127,403,2025-08-08
128,70,2024-10-29
129,455,2025-06-29
130,191,2024-12-17
131,388,2025-05-15
132,496,2025-03-06
133,473,2025-04-11
134,65,2025-08-05
135,219,2024-08-26
136,480,2025-01-22
137,267,2025-05-14
138,338,2025-01-15
139,110,2024-09-13
140,214,2025-08-09
141,67,2025-07-24
142,234,2024-11-13
143,44,2024-12-24
144,87,2024-08-18
145,35,2024-09-17
146,369,2025-08-03
147,217,2025-05-31
148,276,2025-05-01
149,180,2024-09-07
150,84,2024-11-02
151,215,2025-04-25
152,148,2025-05-22
153,42,2024-11-20
154,227,2024-12-31
155,142,2024-11-06
156,53,2025-05-30
157,399,2024-09-15
158,54,2025-03-19
159,378,2025-07-24
160,41,2024-10-21
161,73,2024-09-25
162,396,2025-06-16
163,32,2025-01-25
164,422,2025-02-12
165,116,2025-06-16
166,246,2025-04-09
167,151,2025-04-29
168,86,2024-12-14
169,282,2024-12-10
170,153,2024-10-31
171,31,2025-04-23
172,71,2024-12-08
173,280,2025-07-29
174,288,2025-06-02
175,418,2024-11-22
176,411,2025-01-06
177,239,2025-05-28
178,53,2025-02-18
179,99,2025-02-12
180,430,2025-06-11
181,299,2025-04-11
182,455,2025-05-11
183,31,2025-05-29
184,82,2025-01-06
185,342,2024-12-14
186,459,2024-09-16
187,360,2025-05-30
188,44,2025-07-08
189,427,2025-07-25
190,301,2025-08-06
191,498,2024-10-26
192,228,2024-11-26
193,479,2024-12-19
194,336,2024-11-29
195,415,2024-11-16
196,17,2025-06-26
197,86,2025-02-28
198,389,2024-12-24
199,103,2025-06-09
200,132,2025-06-27
201,63,2025-06-21
202,280,2025-02-26
203,435,2025-01-06
204,80,2024-12-15
205,88,2024-09-19
206,256,2025-08-04
207,113,2024-12-19
208,168,2025-03-14
209,5,2024-08-24
210,339,2024-11-04
211,429,2025-04-19
212,226,2025-08-09
213,337,2025-05-04
214,222,2025-03-24
215,17,2025-05-07
216,498,2024-11-22
217,175,2024-10-05
218,311,2025-01-23
219,230,2024-10-25
220,99,2025-02-06
221,421,2024-10-31
222,279,2025-07-28
223,132,2025-04-09
224,305,2024-10-02
225,311,2025-01-06
226,281,2025-01-20
227,311,2025-03-31
228,246,2025-06-26
229,488,2024-12-26
230,368,2024-09-07
231,363,2024-12-08
232,402,2025-01-04
233,305,2024-11-23
234,153,2025-08-04
235,41,2024-08-31
236,437,2025-01-18
237,182,2025-03-24
238,185,2025-05-09
239,470,2025-01-01
240,65,2024-08-24
241,459,2024-08-18
242,245,2024-08-15
243,371,2025-01-01
244,124,2024-12-22
245,387,2025-05-13
246,385,2025-05-22
247,284,2024-10-03
248,466,2025-03-03
249,319,2024-12-27
250,412,2024-08-25
251,110,2025-04-04
252,432,2024-11-18
253,491,2025-02-07
254,10,2025-07-22
255,194,2025-07-04
256,325,2024-12-02
257,300,2025-05-08
258,120,2024-08-17
259,347,2025-05-01
260,333,2025-06-29
261,461,2024-09-16
262,73,2025-04-03
263,135,2025-07-04
264,431,2025-05-28
265,287,2025-07-14
266,203,2024-12-29
267,245,2024-12-21
268,498,2025-01-29
269,143,2025-05-08
270,296,2025-07-06
271,377,2025-07-22
272,268,2025-04-14
273,473,2024-12-03
274,129,2024-09-09
275,378,2025-07-21
276,240,2024-10-20
277,321,2025-08-11
278,390,2025-07-09
279,153,2024-10-01
280,429,2024-09-28
281,176,2025-06-07
282,356,2025-06-10
283,141,2024-08-19
284,191,2025-01-01
285,275,2025-05-21
286,104,2024-10-27
287,191,2024-10-20
288,241,2025-05-26
289,303,2024-10-12
290,273,2024-11-21
291,177,2024-09-29
292,91,2024-12-15
293,250,2025-08-02
294,231,2025-02-25
295,265,2024-10-15
296,186,2025-03-31
297,25,2024-09-18
298,343,2024-08-24
299,415,2025-02-20
300,134,2025-06-02
301,193,2024-11-23
302,32,2024-11-21
303,137,2025-01-02
304,366,2025-03-10
305,11,2024-11-22
306,154,2024-10-01
